user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
1200wd/bitcoinlib,aaa_numpy/numpy,1,1,32,7,17,16,3,2,4,0,0,0,1.51851394,0.903089987,1.255272505,1.230448921,0.602059991,0.477121255,0.698970004
1200wd/bitcoinlib,aaa_numpy/numpy,1,119,40,9,12,7,13,3,4,0,0,0,1.612783857,1,1.113943352,0.903089987,1.146128036,0.602059991,0.698970004
1200wd/bitcoinlib,aaa_numpy/numpy,1,243,36,14,7,6,0,0,2,0,0,0,1.568201724,1.176091259,0.903089987,0.84509804,0,0,0.477121255
1200wd/bitcoinlib,aaa_numpy/numpy,1,327,32,7,17,16,3,2,4,0,0,0,1.51851394,0.903089987,1.255272505,1.230448921,0.602059991,0.477121255,0.698970004
1200wd/bitcoinlib,aaa_numpy/numpy,1,49,40,9,12,7,13,3,4,0,0,0,1.612783857,1,1.113943352,0.903089987,1.146128036,0.602059991,0.698970004
1200wd/bitcoinlib,aaa_numpy/numpy,1,60,40,9,12,7,13,3,4,0,0,0,1.612783857,1,1.113943352,0.903089987,1.146128036,0.602059991,0.698970004
207-of-diamonds/cs207-FinalProject,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
2gis/k8s-handle,psf/requests,1,353,9,4,4,1,1,1,1,0,1,0,1,0.698970004,0.698970004,0.301029996,0.301029996,0.301029996,0.301029996
2gis/k8s-handle,psf/requests,1,561,10,2,8,2,4,4,2,0,1,0,1.041392685,0.477121255,0.954242509,0.477121255,0.698970004,0.698970004,0.477121255
ARM-software/workload-automation,aaa_numpy/numpy,0,192,4,2,3,0,1,0,3,0,0,0,0.698970004,0.477121255,0.602059991,0,0.301029996,0,0.602059991
ARM-software/workload-automation,aaa_numpy/numpy,0,351,5,3,5,1,4,0,3,1,0,1,0.77815125,0.602059991,0.77815125,0.301029996,0.698970004,0,0.602059991
ARM-software/workload-automation,aaa_numpy/numpy,1,555,2,6,5,2,10,0,4,0,0,0,0.477121255,0.84509804,0.77815125,0.477121255,1.041392685,0,0.698970004
ARM-software/workload-automation,aaa_numpy/numpy,1,580,2,6,5,2,10,0,4,0,0,0,0.477121255,0.84509804,0.77815125,0.477121255,1.041392685,0,0.698970004
ARM-software/workload-automation,psf/requests,0,536,3,6,8,1,4,0,1,0,1,0,0.602059991,0.84509804,0.954242509,0.301029996,0.698970004,0,0.301029996
ARM-software/workload-automation,psf/requests,0,744,4,3,3,0,18,1,2,0,1,0,0.698970004,0.602059991,0.602059991,0,1.278753601,0.301029996,0.477121255
AberystwythSystemsBiology/dimedbpy,aaa_numpy/numpy,0,192,1,0,1,0,1,0,3,0,0,0,0.301029996,0,0.301029996,0,0.301029996,0,0.602059991
AberystwythSystemsBiology/dimedbpy,aaa_numpy/numpy,1,650,0,0,2,0,1,1,2,0,0,0,0,0,0.477121255,0,0.301029996,0.301029996,0.477121255
AberystwythSystemsBiology/dimedbpy,pandas-dev/pandas,0,844,0,0,2,0,1,1,3,0,0,0,0,0,0.477121255,0,0.301029996,0.301029996,0.602059991
AberystwythSystemsBiology/dimedbpy,pandas-dev/pandas,1,32,0,0,2,0,1,1,3,0,0,0,0,0,0.477121255,0,0.301029996,0.301029996,0.602059991
AberystwythSystemsBiology/pyISOPACh,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
AequilibraE/aequilibrae,pandas-dev/pandas,1,236,19,5,9,19,24,5,4,0,0,0,1.301029996,0.77815125,1,1.301029996,1.397940009,0.77815125,0.698970004
AequilibraE/aequilibrae,pandas-dev/pandas,1,98,6,0,5,10,5,1,3,0,0,0,0.84509804,0,0.77815125,1.041392685,0.77815125,0.301029996,0.602059991
AirtestProject/Airtest,aaa_numpy/numpy,1,426,327,36,60,34,3,2,4,0,0,0,2.515873844,1.568201724,1.785329835,1.544068044,0.602059991,0.477121255,0.698970004
AirtestProject/Airtest,aaa_numpy/numpy,1,515,261,53,49,32,5,2,2,0,0,0,2.418301291,1.73239376,1.698970004,1.51851394,0.77815125,0.477121255,0.477121255
AitoDotAI/aito-python-tools,pandas-dev/pandas,0,1060,1,0,2,0,2,1,4,0,0,0,0.301029996,0,0.477121255,0,0.477121255,0.301029996,0.698970004
AitoDotAI/aito-python-tools,pandas-dev/pandas,0,886,1,0,2,4,9,2,3,0,0,0,0.301029996,0,0.477121255,0.698970004,1,0.477121255,0.602059991
AlyShmahell/PyProfyler,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
AmrAnwar/django-thumb,aaa_numpy/numpy,0,192,2,0,1,0,1,0,3,0,0,0,0.477121255,0,0.301029996,0,0.301029996,0,0.602059991
AmrAnwar/django-thumb,aaa_numpy/numpy,0,351,0,0,1,0,1,0,3,1,0,1,0,0,0.301029996,0,0.301029996,0,0.602059991
BambooHR/rapid,psf/requests,0,744,0,0,5,12,23,2,2,0,1,0,0,0,0.77815125,1.113943352,1.380211242,0.477121255,0.477121255
CheckiO/checkio-client,aio-libs/aiohttp,0,102,0,0,2,1,1,5,2,0,0,0,0,0,0.477121255,0.301029996,0.301029996,0.77815125,0.477121255
CheckiO/checkio-client,django/django,0,577,1,0,1,0,1,0,5,2,1,1,0.301029996,0,0.301029996,0,0.301029996,0,0.77815125
ChenghaoMou/touchbar-lyric,aaa_numpy/numpy,0,700,4,0,5,1,2,2,4,0,0,0,0.698970004,0,0.77815125,0.301029996,0.477121255,0.477121255,0.698970004
ChenghaoMou/touchbar-lyric,aaa_numpy/numpy,0,842,8,3,2,1,0,9,2,0,0,0,0.954242509,0.602059991,0.477121255,0.301029996,0,1,0.477121255
CiscoDevNet/virlutils,pallets/flask,1,2,10,2,6,3,2,3,4,0,1,0,1.041392685,0.477121255,0.84509804,0.602059991,0.477121255,0.602059991,0.698970004
CiscoDevNet/virlutils,pallets/flask,1,4,10,2,6,3,2,3,4,0,1,0,1.041392685,0.477121255,0.84509804,0.602059991,0.477121255,0.602059991,0.698970004
CycloneDX/cyclonedx-python,psf/requests,0,536,6,2,12,7,28,4,1,0,1,0,0.84509804,0.477121255,1.113943352,0.903089987,1.462397998,0.698970004,0.301029996
CycloneDX/cyclonedx-python,psf/requests,0,744,4,0,4,3,35,2,2,0,1,0,0.698970004,0,0.698970004,0.602059991,1.556302501,0.477121255,0.477121255
DandyDev/slack-machine,psf/requests,1,101,3,1,6,2,19,0,2,0,1,0,0.602059991,0.301029996,0.84509804,0.477121255,1.301029996,0,0.477121255
Dangertrip/LiBis,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
DataONEorg/d1_python,aaa_numpy/numpy,0,192,0,0,3,0,3,0,3,0,0,0,0,0,0.602059991,0,0.602059991,0,0.602059991
DataONEorg/d1_python,aaa_numpy/numpy,0,351,1,0,1,0,4,0,3,1,0,1,0.301029996,0,0.301029996,0,0.698970004,0,0.602059991
DataONEorg/d1_python,aaa_numpy/numpy,1,174,0,0,1,0,4,0,4,0,0,0,0,0,0.301029996,0,0.698970004,0,0.698970004
DataONEorg/d1_python,aaa_numpy/numpy,1,71,0,0,3,0,3,0,3,0,0,0,0,0,0.602059991,0,0.602059991,0,0.602059991
DataONEorg/d1_python,aio-libs/aiohttp,0,102,0,0,1,0,4,0,2,0,0,0,0,0,0.301029996,0,0.698970004,0,0.477121255
DataONEorg/d1_python,aio-libs/aiohttp,1,432,1,1,5,1,2,0,5,0,0,0,0.301029996,0.301029996,0.77815125,0.301029996,0.477121255,0,0.77815125
DataONEorg/d1_python,aio-libs/aiohttp,1,444,1,1,5,1,2,0,5,0,0,0,0.301029996,0.301029996,0.77815125,0.301029996,0.477121255,0,0.77815125
DataONEorg/d1_python,django/django,0,88,0,0,2,0,4,0,1,2,1,1,0,0,0.477121255,0,0.698970004,0,0.301029996
DataONEorg/d1_python,django/django,1,219,1,0,1,0,4,0,3,3,1,1,0.301029996,0,0.301029996,0,0.698970004,0,0.602059991
DataONEorg/d1_python,django/django,1,268,0,0,5,0,5,0,5,7,1,1,0,0,0.77815125,0,0.77815125,0,0.77815125
DataONEorg/d1_python,django/django,1,485,1,0,5,1,0,1,4,2,1,1,0.301029996,0,0.77815125,0.301029996,0,0.301029996,0.698970004
ELAA207/cs207-FinalProject,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
ESSS/jobs_done10,pallets/flask,0,278,3,0,1,0,0,0,3,0,1,0,0.602059991,0,0.301029996,0,0,0,0.602059991
ESSS/jobs_done10,pallets/flask,0,320,3,0,1,0,0,0,3,0,1,0,0.602059991,0,0.301029996,0,0,0,0.602059991
EducationalTestingService/skll,scikit-learn/scikit-learn,1,85,4,0,2,2,0,0,1,0,0,0,0.698970004,0,0.477121255,0.477121255,0,0,0.301029996
FilippoBovo/robustats,aaa_numpy/numpy,0,192,5,0,1,0,1,0,3,0,0,0,0.77815125,0,0.301029996,0,0.301029996,0,0.602059991
FilippoBovo/robustats,aaa_numpy/numpy,0,351,1,0,5,1,0,0,3,1,0,1,0.301029996,0,0.77815125,0.301029996,0,0,0.602059991
FilippoBovo/robustats,aaa_numpy/numpy,1,508,1,1,3,1,0,0,4,0,0,0,0.301029996,0.301029996,0.602059991,0.301029996,0,0,0.698970004
FilippoBovo/robustats,aaa_numpy/numpy,1,533,1,1,3,1,0,0,4,0,0,0,0.301029996,0.301029996,0.602059991,0.301029996,0,0,0.698970004
GNS3/gns3-server,aio-libs/aiohttp,1,133,26,17,47,28,6,3,5,0,0,0,1.431363764,1.255272505,1.681241237,1.462397998,0.84509804,0.602059991,0.77815125
GNS3/gns3-server,aio-libs/aiohttp,1,15,26,17,47,28,6,3,5,0,0,0,1.431363764,1.255272505,1.681241237,1.462397998,0.84509804,0.602059991,0.77815125
GNS3/gns3-server,aio-libs/aiohttp,1,22,29,6,26,17,14,1,2,0,0,0,1.477121255,0.84509804,1.431363764,1.255272505,1.176091259,0.301029996,0.477121255
GNS3/gns3-server,aio-libs/aiohttp,1,27,26,17,47,28,6,3,5,0,0,0,1.431363764,1.255272505,1.681241237,1.462397998,0.84509804,0.602059991,0.77815125
Grasia/inequality_coefficients,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
Grasia/inequality_coefficients,aaa_numpy/numpy,0,299,1,0,2,0,2,0,3,0,0,0,0.301029996,0,0.477121255,0,0.477121255,0,0.602059991
HEInventions/docnado,pallets/flask,1,281,3,0,3,1,1,0,4,0,1,0,0.602059991,0,0.602059991,0.301029996,0.301029996,0,0.698970004
IBM/adversarial-robustness-toolbox,scikit-learn/scikit-learn,1,262,194,73,41,53,48,3,2,0,0,0,2.290034611,1.86923172,1.62324929,1.73239376,1.69019608,0.602059991,0.477121255
IntegriChain1/s3parq,aaa_numpy/numpy,0,192,3,0,4,0,3,3,3,0,0,0,0.602059991,0,0.698970004,0,0.602059991,0.602059991,0.602059991
IntegriChain1/s3parq,aaa_numpy/numpy,0,351,2,2,2,0,1,0,3,1,0,1,0.477121255,0.477121255,0.477121255,0,0.301029996,0,0.602059991
JoseRoberts87/flask_container,pallets/flask,0,598,0,0,1,0,1,0,4,0,1,0,0,0,0.301029996,0,0.301029996,0,0.698970004
KE-works/pykechain,psf/requests,1,12,0,0,4,4,27,9,2,0,1,0,0,0,0.698970004,0.698970004,1.447158031,1,0.477121255
KE-works/pykechain,psf/requests,1,6,1,0,5,8,56,6,2,0,1,0,0.301029996,0,0.77815125,0.954242509,1.755874856,0.84509804,0.477121255
Kinto/kinto-http.py,psf/requests,1,4,2,0,2,0,11,0,2,0,1,0,0.477121255,0,0.477121255,0,1.079181246,0,0.477121255
Kinto/kinto-http.py,psf/requests,1,6,1,0,3,0,5,1,2,0,1,0,0.301029996,0,0.602059991,0,0.77815125,0.301029996,0.477121255
Kinto/kinto-http.py,psf/requests,1,6,1,1,3,0,3,1,2,0,1,0,0.301029996,0.301029996,0.602059991,0,0.602059991,0.301029996,0.477121255
Koheron/koheron-sdk,aaa_numpy/numpy,1,197,2,1,5,1,1,0,2,0,0,0,0.477121255,0.301029996,0.77815125,0.301029996,0.301029996,0,0.477121255
Koheron/koheron-sdk,aaa_numpy/numpy,1,55,4,0,5,2,5,0,4,0,0,0,0.698970004,0,0.77815125,0.477121255,0.77815125,0,0.698970004
Koozco/pmp,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
Koozco/pmp,aaa_numpy/numpy,0,351,0,0,1,0,1,0,3,1,0,1,0,0,0.301029996,0,0.301029996,0,0.602059991
LeviBorodenko/spectrographic,aaa_numpy/numpy,0,192,11,2,2,1,1,0,3,0,0,0,1.079181246,0.477121255,0.477121255,0.301029996,0.301029996,0,0.602059991
LeviBorodenko/spectrographic,aaa_numpy/numpy,0,351,7,0,1,0,0,0,3,1,0,1,0.903089987,0,0.301029996,0,0,0,0.602059991
LeviBorodenko/spectrographic,aaa_numpy/numpy,1,898,35,10,2,1,0,0,3,0,0,0,1.556302501,1.041392685,0.477121255,0.301029996,0,0,0.602059991
MI2DataLab/WildNLP,aaa_numpy/numpy,0,192,1,0,1,0,2,0,3,0,0,0,0.301029996,0,0.301029996,0,0.477121255,0,0.602059991
MIT-LCP/datathon-package,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
