user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
pschmitt/python-liveboxplaytv,aio-libs/aiohttp,True,8,0,0,1,0,0,7,7,0,0,55,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
pypa/bandersnatch,aio-libs/aiohttp,True,9,16,9,17,12,10,78,78,8,0,58,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
vyahello/async-weather-api,aio-libs/aiohttp,True,137,0,0,1,1,1,0,0,1,0,53,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
source-foundry/fdiff,aio-libs/aiohttp,True,1,1,0,3,0,0,22,21,0,3,33,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
nardew/bitpanda-aio,aio-libs/aiohttp,True,137,0,0,0,0,0,0,0,0,0,12,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
rack-io/rackio-framework,aio-libs/aiohttp,False,810,1,0,1,1,0,1,0,0,11,10,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
home-assistant/appdaemon.git,aio-libs/aiohttp,True,86,0,0,0,0,0,0,0,0,0,24,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
yiffscraper/yiffscraper,aio-libs/aiohttp,True,137,7,0,0,0,0,0,0,0,0,4,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
synesthesiam/rhasspy-client,aio-libs/aiohttp,True,137,0,0,0,0,0,0,0,0,0,5,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
GNS3/gns3-server,aio-libs/aiohttp,True,27,26,17,47,28,26,6,5,34,3,148,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
beda-software/fhir-py,aio-libs/aiohttp,True,217,10,2,3,1,0,1,0,2,0,24,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
thomasgermain/pymultiMATIC,aio-libs/aiohttp,True,149,7,0,7,6,6,4,5,3,4,10,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
antechrestos/cf-python-client,aio-libs/aiohttp,True,137,0,0,0,0,0,0,0,0,1,25,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
andrewsayre/pysmartthings,aio-libs/aiohttp,True,395,8,2,5,2,1,7,8,3,3,26,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
mozilla/treeherder,aio-libs/aiohttp,False,810,8,14,36,7,2,145,145,17,0,569,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
nicfit/TopFM,aio-libs/aiohttp,False,810,1,0,2,0,0,31,55,1,0,65,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
jupyterhub/traefik-proxy,aio-libs/aiohttp,True,129,2,3,3,0,0,2,2,3,0,83,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
cocrawler/cocrawler,aio-libs/aiohttp,True,1,1,5,1,0,0,2,2,1,0,24,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
vapor-ware/aionetbox,aio-libs/aiohttp,False,810,1,1,1,1,0,0,0,1,0,39,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
MahjongRepository/mahjong_soul_api,aio-libs/aiohttp,True,137,2,2,3,1,1,1,1,3,3,8,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
chuckus/chromewhip,aio-libs/aiohttp,True,621,2,1,1,1,0,0,0,1,0,14,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
DataONEorg/d1_python,aio-libs/aiohttp,True,444,1,1,5,1,1,2,1,2,0,88,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
jkeljo/sisyphus-control,aio-libs/aiohttp,False,810,1,0,0,0,0,0,0,0,1,21,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
ricardobranco777/cloudview,aio-libs/aiohttp,False,810,0,0,1,0,0,1,1,1,2,31,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
loudml/loudml-python,aio-libs/aiohttp,True,137,0,1,2,1,0,5,4,1,0,24,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
xcodinas/apex-legends,aio-libs/aiohttp,True,141,2,0,1,0,0,1,0,1,0,4,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
jeffguorg/wx2pdf,aio-libs/aiohttp,True,137,0,0,0,0,0,0,0,0,0,14,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
biothings/biothings.api,aio-libs/aiohttp,False,810,3,4,8,10,10,8,6,3,3,40,423,88,260,76,156,308,382,208,5,179,2,0,0,2,0,0,0,0
hh-h/aiohttp-swagger3,aio-libs/aiohttp,True,7,3,0,6,3,4,3,3,5,2,27,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
MrDandycorn/vk-botting,aio-libs/aiohttp,True,63,0,0,0,0,0,0,0,0,2,5,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
Rapptz/discord.py,aio-libs/aiohttp,True,29,776,348,320,173,185,79,80,257,1,10,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
EvieePy/Wavelink,aio-libs/aiohttp,True,120,0,0,0,0,0,0,0,0,0,37,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
SharpBit/brawlstats,aio-libs/aiohttp,True,373,2,4,4,1,1,3,3,2,1,18,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
billy-yoyo/RainbowSixSiege-Python-API,aio-libs/aiohttp,True,73,5,4,11,9,1,1,0,9,0,4,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
JohnDoee/magnet2torrent,aio-libs/aiohttp,False,798,1,1,0,0,0,0,0,0,0,9,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
